Date,粉丝总数,粉丝变化,收入,下载量
2022/3/13,10192668,13778,1527899,40456
2022/3/14,10198234,5562,1368462,37424
2022/3/15,10207003,8768,1379453,36825
2022/3/16,10226332,19314,1276126,37783
2022/3/17,10242736,16391,1160217,41323
2022/3/18,10422131,179098,1087485,47210
2022/3/19,10440014,17874,921159,47514
2022/3/20,10453676,13647,889881,45018
2022/3/21,10458550,4868,866132,42989
2022/3/22,10464859,6305,999580,38673
2022/3/23,10472748,7894,1006364,35144
2022/3/24,10481641,8875,934537,32616
2022/3/25,10492636,10997,947859,34477
2022/3/26,10508327,15672,915340,35536
2022/3/27,10519935,11616,835401,36783
2022/3/28,10526525,6808,850509,35224
2022/4/1,10556652,8783,1615894,34740
2022/4/2,10578392,12560,1369434,35158
2022/4/3,10595716,17324,1305276,40643
2022/4/4,10612314,16591,1089144,45567
2022/4/5,10625728,13394,1052546,45189
2022/4/6,10632949,7225,972511,46206
2022/4/7,10640815,7868,928173,44824
2022/4/8,10651166,10329,885231,45827
2022/4/9,10664945,13786,887239,41896
2022/4/10,10676661,11703,843167,41977
2022/4/11,10684343,7685,844184,37408
2022/4/12,10690910,6925,832669,34019
2022/4/13,10697651,6576,777262,30391
2022/4/14,10705451,7971,850866,33683
2022/4/15,10716468,8677,911840,36791
2022/4/16,10731857,15364,869200,36929
2022/4/17,10742361,10497,843442,37373
2022/4/18,10764023,21654,836894,35894
2022/4/19,10778671,14655,1009494,31679
2022/4/20,10789358,10685,3664623,29575
2022/4/21,10799804,10433,2635336,28884
2022/4/22,10814717,14897,1381720,32568
2022/4/23,10832390,17641,1289432,34933
2022/4/24,10840726,8343,1157504,33629
2022/4/25,10848464,7734,1173611,30195
2022/4/26,10856004,7524,1070453,29256
2022/4/27,10866467,10458,1043581,26910
2022/4/28,10879670,13933,927263,27536
2022/4/29,10910264,24458,655141,31003
2022/4/30,10936262,25991,610461,39650
2022/5/1,10957729,21437,698580,45672
2022/5/2,10973074,15336,636669,48259
2022/5/3,10987171,14086,808707,44882
2022/5/4,10997412,10575,858210,40580
2022/5/5,11006142,8887,926674,37970
2022/5/6,11013554,6243,970294,34920
2022/5/7,11023707,9954,942081,40284
2022/5/8,11035627,11940,890000,42796
2022/5/9,11042825,7181,846092,40576
2022/5/10,11050077,7223,835825,34879
2022/5/11,11055942,5873,882706,32785
2022/5/12,11063093,7116,924644,30526
2022/5/13,11073365,10271,844301,30398
2022/5/14,11088850,15486,665256,31951
2022/5/15,11099951,11090,769488,35687
2022/5/16,11107683,7731,767776,34317
2022/5/17,11114095,6403,742701,31789
2022/5/18,11120328,6219,620657,29919
2022/5/19,11156275,35847,593622,29869
2022/5/20,11398171,241677,571040,29549
2022/5/21,11413956,15796,615105,29268
2022/5/22,11424311,10351,657401,31165
2022/5/23,11430491,6192,688582,29237
2022/5/24,11436070,5549,674782,26912
2022/5/25,11442273,6211,641017,25473
2022/5/26,11450208,7902,616346,25243
2022/5/27,11458302,8074,547270,25598
2022/5/28,11469438,11129,593842,27482
2022/5/29,11478519,9091,694346,29180
2022/5/30,11484435,5892,694616,29410
2022/5/31,11490755,6307,1872463,30556
2022/6/1,11496627,5875,3683490,33681
2022/6/2,11509645,13015,3196513,35511
2022/6/3,11528960,19261,2366585,42272
2022/6/4,11544355,15434,1773352,43026
2022/6/5,11556510,12132,1684662,39480
