Date,粉丝总数,粉丝变化
2021/10/25,8082511,3288
2021/10/27,8089700,3792
2021/11/5,8140484,5859
2021/11/7,8162473,9135
2021/11/9,8166538,2891
2021/11/11,8177851,6759
2021/11/13,8276378,34120
2021/11/16,8293180,5887
2021/11/18,8301438,3732
2021/11/19,8308442,6996
2021/11/20,8308589,7110
2021/11/21,8328542,12637
2021/11/24,8344788,6193
2021/11/25,8353547,5109
2021/11/26,8361514,6818
2021/11/27,8376973,11622
2021/11/28,8385584,8619
2021/11/29,8388794,3208
2021/11/30,8392980,4183
2021/12/1,8396167,3180
2021/12/2,8400002,3835
2021/12/3,8410423,10355
2021/12/4,8424769,13701
2021/12/5,8432744,7967
2021/12/6,8436419,3673
2021/12/7,8439874,3454
2021/12/8,8445785,5907
2021/12/9,8457603,11806
2021/12/10,8482982,25347
2021/12/11,8502139,19153
2021/12/12,8513063,15291
2021/12/13,8522853,6875
2021/12/14,8529399,6547
2021/12/15,8534318,5047
2021/12/16,8540416,5739
2021/12/17,8549161,8730
2021/12/18,8563964,14789
2021/12/19,8574308,10332
2021/12/20,8578370,5784
2021/12/23,8599140,6082
2021/12/24,8620746,21582
2021/12/25,8639558,19053
2021/12/26,8796162,158483
2021/12/27,8804125,5970
2021/12/28,8811668,7530
2021/12/29,8816938,5269
2021/12/30,8825549,8611
2021/12/31,8854086,28529
2022/1/1,8883799,29674
2022/1/2,8902309,18507
2022/1/3,8914192,11865
2022/1/4,8925536,11340
2022/1/5,8938437,12912
2022/1/6,8953870,15406
2022/1/7,8979674,25795
2022/1/8,9006108,26456
2022/1/9,9027681,21524
2022/1/10,9031961,18485
2022/1/11,9056122,14210
2022/1/12,9070653,14619
2022/1/13,9074541,15049
2022/1/14,9106706,18215
2022/1/15,9131375,24650
2022/1/16,9148950,17553
2022/1/17,9165206,16249
2022/1/18,9183315,18108
2022/1/19,9203141,19795
2022/1/20,9222793,19654
2022/1/21,9255327,31771
2022/1/22,9279022,23716
2022/1/23,9299441,20366
2022/1/24,9320222,20525
2022/1/25,9340603,20344
2022/1/26,9360975,20361
2022/1/27,9382162,21167
2022/1/28,9400698,18515
2022/1/29,9420613,19907
2022/1/30,9440583,19958
2022/1/31,9463948,23339
2022/2/1,9469189,23831
2022/2/2,9512110,24185
2022/2/3,9538784,26631
2022/2/4,9717780,178857
2022/2/5,9744946,27116
2022/2/6,9766575,21602
2022/2/7,9783365,16772
2022/2/8,9799216,15839
2022/2/9,9814985,15758
2022/2/10,9834537,19807
2022/2/12,9866664,14827
2022/2/13,9880472,13804
2022/2/14,9891327,10851
2022/2/15,9908554,17198
2022/2/16,9921112,12546
2022/2/17,9932136,11021
2022/2/18,9944501,12358
2022/2/19,9962145,17627
2022/2/20,9976145,13998
2022/2/21,9982058,5911
2022/2/22,9988901,7252
2022/2/23,9999670,8383
2022/2/24,10009454,9772
2022/2/25,10011818,9945
2022/3/2,10074426,10865
2022/3/3,10079915,5478
2022/3/4,10091897,11983
2022/3/5,10110534,18627
2022/3/6,10121912,15134
2022/3/9,10142515,6236
2022/3/10,10148847,5670
2022/3/11,10160185,11328
2022/3/12,10178878,18666
2022/3/13,10192668,13778
2022/3/14,10198234,5562
2022/3/15,10207003,8768
2022/3/16,10226332,19314
2022/3/17,10242736,16391
2022/3/18,10422131,179098
2022/3/19,10440014,17874
2022/3/20,10453676,13647
2022/3/21,10458550,4868
2022/3/22,10464859,6305
2022/3/23,10472748,7894
2022/3/24,10481641,8875
2022/3/25,10492636,10997
2022/3/26,10508327,15672
2022/3/27,10519935,11616
2022/3/28,10526525,6808
2022/4/1,10556652,8783
2022/4/2,10578392,12560
2022/4/3,10595716,17324
2022/4/4,10612314,16591
2022/4/5,10625728,13394
2022/4/6,10632949,7225
2022/4/7,10640815,7868
2022/4/8,10651166,10329
2022/4/9,10664945,13786
2022/4/10,10676661,11703
2022/4/11,10684343,7685
2022/4/12,10690910,6925
2022/4/13,10697651,6576
2022/4/14,10705451,7971
2022/4/15,10716468,8677
2022/4/16,10731857,15364
2022/4/17,10742361,10497
2022/4/18,10764023,21654
2022/4/19,10778671,14655
2022/4/20,10789358,10685
2022/4/21,10799804,10433
2022/4/22,10814717,14897
2022/4/23,10832390,17641
2022/4/24,10840726,8343
2022/4/25,10848464,7734
2022/4/26,10856004,7524
2022/4/27,10866467,10458
2022/4/28,10879670,13933
2022/4/29,10910264,24458
2022/4/30,10936262,25991
2022/5/1,10957729,21437
2022/5/2,10973074,15336
2022/5/3,10987171,14086
2022/5/4,10997412,10575
2022/5/5,11006142,8887
2022/5/6,11013554,6243
2022/5/7,11023707,9954
2022/5/8,11035627,11940
2022/5/9,11042825,7181
2022/5/10,11050077,7223
2022/5/11,11055942,5873
2022/5/12,11063093,7116
2022/5/13,11073365,10271
2022/5/14,11088850,15486
2022/5/15,11099951,11090
2022/5/16,11107683,7731
2022/5/17,11114095,6403
2022/5/18,11120328,6219
2022/5/19,11156275,35847
2022/5/20,11398171,241677
2022/5/21,11413956,15796
2022/5/22,11424311,10351
2022/5/23,11430491,6192
2022/5/24,11436070,5549
2022/5/25,11442273,6211
2022/5/26,11450208,7902
2022/5/27,11458302,8074
2022/5/28,11469438,11129
2022/5/29,11478519,9091
2022/5/30,11484435,5892
2022/5/31,11490755,6307
2022/6/1,11496627,5875
2022/6/2,11509645,13015
2022/6/3,11528960,19261
2022/6/4,11544355,15434
2022/6/5,11556510,12132
2022/6/6,11565843,9297
2022/6/7,11573299,7751
2022/6/8,11582936,8072
2022/6/9,11591533,8563
2022/6/10,11601764,10202
2022/6/11,11614459,12725
2022/6/12,11625249,10786
2022/6/13,11631703,6448
2022/6/14,11638490,6935
2022/6/15,11647210,8154
2022/6/16,11654666,7441
2022/6/17,11665567,10881
2022/6/18,11680920,15327
2022/6/19,11693288,12333
2022/6/20,11701422,8103
2022/6/21,11709812,8412
2022/6/22,11719289,9443
2022/6/23,11728544,9249
2022/6/24,11737986,9439
2022/6/25,11752134,14246
2022/6/26,11764864,12553
2022/6/27,11774221,9362
2022/6/28,11783689,9464
2022/6/29,11793959,10207
2022/6/30,11820161,26229
2022/7/1,11847423,27136
2022/7/2,12043399,195073
2022/7/3,12062776,19331
2022/7/4,12075425,12621
2022/7/5,12087671,12203
2022/7/6,12099752,12075
2022/7/7,12112959,14005
2022/7/8,12129137,12663
2022/7/9,12152742,23566
2022/7/10,12171431,18717
2022/7/11,12228750,57265
2022/7/12,12268943,40201
2022/7/13,12296320,27317
2022/7/14,12318038,21722
2022/7/15,12337458,19378
2022/7/16,12355719,18243
2022/7/17,12373061,17321
2022/7/18,12388262,15160
